id,title,reverse_title,title_tr,reverse_title_tr,created_at,updated_at,deleted
1,Same Person,Same Person,,,2023-11-07 22:18:28.769995,2023-11-07 22:18:28.769995,
2,Duplicate,Duplicate,,,2023-11-07 22:18:28.769995,2023-11-07 22:18:28.769995,
3,Parent,Child,,,2023-11-07 22:18:28.769995,2023-11-07 22:18:28.769995,
4,Child,Parent,,,2023-11-07 22:18:28.769995,2023-11-07 22:18:28.769995,
5,Sibling,Sibling,,,2023-11-07 22:18:28.769995,2023-11-07 22:18:28.769995,
6,Spouse,Spouse,,,2023-11-07 22:18:28.769995,2023-11-07 22:18:28.769995,
7,Superior officer,Subordinate officer,,,2023-11-07 22:18:28.769995,2023-11-07 22:18:28.769995,
8,Subordinate officer,Superior officer,,,2023-11-07 22:18:28.769995,2023-11-07 22:18:28.769995,
9,Subunit,Unit,,,2023-11-07 22:18:28.769995,2023-11-07 22:18:28.769995,
10,Alleged Perpetrator,Injured Party,,,2023-11-07 22:18:28.769995,2023-11-07 22:18:28.769995,
11,Member,Group,,,2023-11-07 22:18:28.769995,2023-11-07 22:18:28.769995,
12,Group,Member,,,2023-11-07 22:18:28.769995,2023-11-07 22:18:28.769995,
13,Unit,Subunit,,,2023-11-07 22:18:28.769995,2023-11-07 22:18:28.769995,
14,Other,Other,,,2023-11-07 22:18:28.769995,2023-11-07 22:18:28.769995,
15,Injured Party,Alleged Perpetrator,,,2023-11-07 22:18:28.769995,2023-11-07 22:18:28.769995,
